GENDER_CD_F,GENDER_CD_M,EDUCATION_CD_1,EDUCATION_CD_2,EDUCATION_CD_>=3,EDUCATION_CD_none,TOT_SRV_DROPPED_CNT_0,TOT_SRV_DROPPED_CNT_1,TOT_SRV_DROPPED_CNT_2,TOT_SRV_DROPPED_CNT_3,TOT_SRV_DROPPED_CNT_4,TOT_OB_CALL_INTL_ROAM_CNT_<=100,TOT_OB_CALL_INTL_ROAM_CNT_<=200,TOT_OB_CALL_INTL_ROAM_CNT_>200,BARRING_REASON_CD_0,BARRING_REASON_CD_1,BARRING_REASON_CD_2,BARRING_REASON_CD_3,TOT_SRV_ADDED_CNT_0,TOT_SRV_ADDED_CNT_1,TOT_SRV_ADDED_CNT_2,TOT_SRV_ADDED_CNT_3,SUBS_TENURE,TOT_DAY_LAST_COMPLAINT_CNT,TOT_DAY_LAST_SUSPENDED_CNT,MTH_TO_SUBS_END_CNT,REV_AMT_BASE_1,REV_AMT_BASE_2,CUST_AGE,PCT_CHNG_IB_SMS_CNT
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6518233785237156,1.0293006233192454,-1.218513590473572,-0.5287894564814917,-0.8694012686395461,1.0153597764805937,-0.6628686095693174,0.9722593314738538
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8942317055933408,-1.414120058917587,-1.6084372170433328,-1.572017997681408,-0.4903322964294375,-1.3678330541965782,0.9076799969791308,-0.6657091316811768
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.21009335449027094,0.31064748148488286,-1.4784626748534124,1.557667625918341,-0.4692729090844315,1.050278352754252,-1.3241522333791902,0.08936789017971883
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6733666935766184,0.7418393665855003,-1.218513590473572,1.557667625918341,-1.3642968712471881,1.7282807087344487,-0.3322267976643809,-0.845465178516641
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.3144184145738826,-0.40800566034947966,-0.698615421713891,0.5144390847184247,-0.17444148625434694,0.2500609798162516,-0.7455290625455515,0.06007014732231249
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6733666935766184,0.16691685311801033,0.08123183142563031,-0.5287894564814917,-1.2870791176488325,0.36063647134950255,-1.4068126863554244,-0.1055681686233338
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.21009335449027094,-0.8391975454500972,-0.30869179514413037,-0.5287894564814917,-0.012986183275967313,-0.13695324055012678,0.8250195440028967,-0.822841692483462
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.7561484386073274,0.7418393665855003,0.21120637361555056,-0.5287894564814917,1.1593197122627021,0.9891708442753501,-1.5721335923078927,-0.6503395850601409
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5568267416435078,-1.2703894305507146,1.1210281689449921,1.557667625918341,-1.2835692197579982,-0.02928763037301399,1.4036427148365356,-0.6764352640882603
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.115096717610063,0.7418393665855003,0.9910536267550719,-1.572017997681408,0.30290462689912323,-0.7480283253391452,-0.3322267976643809,-1.5471203208592816
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.01077165752645139,-1.2703894305507146,-1.348488132663492,-0.5287894564814917,0.4503203383141655,1.5973360477082303,0.49437773209796027,0.1308546686297305
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.115096717610063,0.16691685311801033,0.21120637361555056,-1.572017997681408,-1.539791765788905,1.0124498951244556,0.1637359201930238,0.4479399044955879
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.3144184145738826,1.0293006233192454,-0.8285899639038112,-1.572017997681408,-0.0024564896034642955,-0.4075722066709778,1.1556613559078333,0.37902047423653124
